trial_number,params,fold_rmses,mean_rmse
40,"{'lookback': 32, 'filters': 36, 'kernel_size': 2, 'lstm_units': 96, 'dense_units': 35, 'dropout_rate': 0.43262361362202434, 'learning_rate': 0.005813076797929996, 'l2_reg': 0.00016620320936861491, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062677180486378865), np.float64(0.006226900980224204), np.float64(0.012156940139595753), np.float64(0.008833149621353849), np.float64(0.007555216706760912)]",0.00820798509931452
41,"{'lookback': 34, 'filters': 38, 'kernel_size': 4, 'lstm_units': 91, 'dense_units': 39, 'dropout_rate': 0.40543725602808306, 'learning_rate': 0.004555287686607001, 'l2_reg': 0.00023584560379285097, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006249543150665287), np.float64(0.006225730328025448), np.float64(0.012151323057366567), np.float64(0.008812250872524489), np.float64(0.007549419593243456)]",0.00819765340036505
42,"{'lookback': 34, 'filters': 42, 'kernel_size': 4, 'lstm_units': 90, 'dense_units': 39, 'dropout_rate': 0.4040558685839907, 'learning_rate': 0.004070927757550952, 'l2_reg': 0.0002677026309543858, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062548065207591), np.float64(0.006220355301546912), np.float64(0.012148117601559278), np.float64(0.008816889972964852), np.float64(0.007556986742333626)]",0.008199431227832754
47,"{'lookback': 32, 'filters': 38, 'kernel_size': 4, 'lstm_units': 93, 'dense_units': 39, 'dropout_rate': 0.3691494270047188, 'learning_rate': 0.003350228180318787, 'l2_reg': 0.0003265602161690224, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006270777016806432), np.float64(0.006231283745817016), np.float64(0.012151669116274723), np.float64(0.0088371321402966), np.float64(0.007564427023323352)]",0.008211057808503624
49,"{'lookback': 30, 'filters': 42, 'kernel_size': 4, 'lstm_units': 81, 'dense_units': 38, 'dropout_rate': 0.4190525074655065, 'learning_rate': 0.003802936798748557, 'l2_reg': 0.00046809161662774524, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062452611246251385), np.float64(0.006228227562958797), np.float64(0.01215638783422416), np.float64(0.008824955296396474), np.float64(0.007585645288499912)]",0.008208095421340897
53,"{'lookback': 33, 'filters': 29, 'kernel_size': 2, 'lstm_units': 94, 'dense_units': 28, 'dropout_rate': 0.3881294923383607, 'learning_rate': 0.004750199124787536, 'l2_reg': 0.0002868310025912773, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006260648037252123), np.float64(0.006232110583823149), np.float64(0.01214775667796943), np.float64(0.00883781494586191), np.float64(0.007555271215630047)]",0.00820672029210733
54,"{'lookback': 34, 'filters': 25, 'kernel_size': 3, 'lstm_units': 86, 'dense_units': 36, 'dropout_rate': 0.4113194304424042, 'learning_rate': 0.007414970963307338, 'l2_reg': 0.00019653241300177985, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006262959504468058), np.float64(0.006224773708062517), np.float64(0.012152104619916346), np.float64(0.008813976936232107), np.float64(0.007573964143843168)]",0.00820555578250444
57,"{'lookback': 32, 'filters': 33, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 37, 'dropout_rate': 0.4015571365614094, 'learning_rate': 0.005825932449297872, 'l2_reg': 0.00022403131526465325, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006256238046905401), np.float64(0.006229609191323719), np.float64(0.012151401044347282), np.float64(0.008836949798999925), np.float64(0.007562823329388955)]",0.008207404282193057
58,"{'lookback': 36, 'filters': 38, 'kernel_size': 2, 'lstm_units': 90, 'dense_units': 40, 'dropout_rate': 0.47303461638649036, 'learning_rate': 0.004868308711133808, 'l2_reg': 0.00031054125514050454, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006223191934440793), np.float64(0.006248353268067451), np.float64(0.012147913873975317), np.float64(0.008813533993633153), np.float64(0.00756708623548275)]",0.008200015861119892
59,"{'lookback': 36, 'filters': 38, 'kernel_size': 2, 'lstm_units': 57, 'dense_units': 40, 'dropout_rate': 0.4739330080454462, 'learning_rate': 0.0046011594796181434, 'l2_reg': 0.0003066788689819767, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062496076135633025), np.float64(0.00621973634458428), np.float64(0.012151579071550218), np.float64(0.008820793525385014), np.float64(0.0075553606725673695)]",0.008199415445530036
