trial_number,params,fold_rmses,mean_rmse
49,"{'lookback': 17, 'filters': 44, 'kernel_size': 4, 'lstm_units': 110, 'dense_units': 45, 'dropout_rate': 0.2976556948789258, 'learning_rate': 0.003750577114016856, 'l2_reg': 0.0003497209803166799, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012797501438863391), np.float64(0.012252940148844906), np.float64(0.026600494156450816), np.float64(0.01876540380407237), np.float64(0.01867595629716639)]",0.017818459169079575
50,"{'lookback': 18, 'filters': 41, 'kernel_size': 4, 'lstm_units': 116, 'dense_units': 43, 'dropout_rate': 0.335909557920727, 'learning_rate': 0.004905255192067473, 'l2_reg': 0.00024162878441931856, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012766039105219293), np.float64(0.01227315866293844), np.float64(0.026602523072832993), np.float64(0.01876550534905122), np.float64(0.018705414928195097)]",0.017822528223647407
51,"{'lookback': 17, 'filters': 43, 'kernel_size': 4, 'lstm_units': 122, 'dense_units': 41, 'dropout_rate': 0.3512998114708151, 'learning_rate': 0.0032227322476210112, 'l2_reg': 0.00015279884944194365, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012755455250180797), np.float64(0.01226534670876887), np.float64(0.026691628715662236), np.float64(0.01877120098372964), np.float64(0.01868132044541475)]",0.017832990420751257
54,"{'lookback': 14, 'filters': 39, 'kernel_size': 4, 'lstm_units': 119, 'dense_units': 48, 'dropout_rate': 0.41414435139371114, 'learning_rate': 0.0031145501543184836, 'l2_reg': 0.00020399236244581328, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012802542542940063), np.float64(0.01224905298188177), np.float64(0.02663210827269501), np.float64(0.018741021335130566), np.float64(0.018684491307789434)]",0.01782184328808737
59,"{'lookback': 21, 'filters': 40, 'kernel_size': 4, 'lstm_units': 117, 'dense_units': 36, 'dropout_rate': 0.3431807945992982, 'learning_rate': 0.0026644302185128347, 'l2_reg': 0.0001191186237585064, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012821163686989226), np.float64(0.01222514565090007), np.float64(0.026633190204523125), np.float64(0.01873901309284842), np.float64(0.018703495646235177)]",0.017824401656299206
62,"{'lookback': 17, 'filters': 42, 'kernel_size': 4, 'lstm_units': 111, 'dense_units': 47, 'dropout_rate': 0.304523802322971, 'learning_rate': 0.003821203186543664, 'l2_reg': 0.000395535093639331, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01277839342296471), np.float64(0.012256774528259485), np.float64(0.026615592869636388), np.float64(0.018732406876199103), np.float64(0.018655418508139794)]",0.017807717241039894
63,"{'lookback': 18, 'filters': 42, 'kernel_size': 4, 'lstm_units': 112, 'dense_units': 47, 'dropout_rate': 0.3075279233089859, 'learning_rate': 0.004263109087317716, 'l2_reg': 0.0004051374839687742, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012806114864398446), np.float64(0.012242311262643102), np.float64(0.026619958324715226), np.float64(0.018739350135034128), np.float64(0.018676489298224366)]",0.017816844777003054
65,"{'lookback': 16, 'filters': 43, 'kernel_size': 4, 'lstm_units': 139, 'dense_units': 44, 'dropout_rate': 0.38065818921027356, 'learning_rate': 0.0018034959246925396, 'l2_reg': 0.00021545081609357166, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012826880432161451), np.float64(0.012210753017480296), np.float64(0.026611333256434944), np.float64(0.018779423987745215), np.float64(0.01871579571158869)]",0.017828837281082116
68,"{'lookback': 19, 'filters': 37, 'kernel_size': 3, 'lstm_units': 103, 'dense_units': 48, 'dropout_rate': 0.3762129903923661, 'learning_rate': 0.003049287240582364, 'l2_reg': 0.00029822824610279634, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012837575292529685), np.float64(0.01226708322322343), np.float64(0.02655621555849782), np.float64(0.01875103923456467), np.float64(0.018702169721667584)]",0.017822816606096636
72,"{'lookback': 18, 'filters': 40, 'kernel_size': 4, 'lstm_units': 111, 'dense_units': 46, 'dropout_rate': 0.30974036376292124, 'learning_rate': 0.003821275351668626, 'l2_reg': 0.0003865886234317595, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01277725964045592), np.float64(0.012265790068284268), np.float64(0.02662329124438199), np.float64(0.018744952095704263), np.float64(0.018686374346745714)]",0.01781953347911443
74,"{'lookback': 18, 'filters': 41, 'kernel_size': 4, 'lstm_units': 109, 'dense_units': 45, 'dropout_rate': 0.31901405594954035, 'learning_rate': 0.0035957381426355364, 'l2_reg': 0.000492220727209094, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012768118264535038), np.float64(0.012252001819408274), np.float64(0.02662527233968663), np.float64(0.01875468528716633), np.float64(0.01866979621371583)]",0.01781397478490242
75,"{'lookback': 19, 'filters': 41, 'kernel_size': 4, 'lstm_units': 109, 'dense_units': 43, 'dropout_rate': 0.3238765383504696, 'learning_rate': 0.003594679710496649, 'l2_reg': 0.0004586921895169872, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012790243089830084), np.float64(0.012255760627270136), np.float64(0.026633054926080507), np.float64(0.018731955579279477), np.float64(0.01871368042111502)]",0.017824938928715044
76,"{'lookback': 15, 'filters': 43, 'kernel_size': 4, 'lstm_units': 101, 'dense_units': 44, 'dropout_rate': 0.3170467695409093, 'learning_rate': 0.0015012827294367485, 'l2_reg': 0.00015697087232653518, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012803307653998045), np.float64(0.01226843679268424), np.float64(0.026727194747534065), np.float64(0.018786602633052454), np.float64(0.01864869351238589)]",0.01784684706793094
