trial_number,params,fold_rmses,mean_rmse
52,"{'lookback': 27, 'filters': 43, 'kernel_size': 2, 'lstm_units': 126, 'dense_units': 16, 'dropout_rate': 0.21078663595821184, 'learning_rate': 0.007016548049159495, 'l2_reg': 0.0006109970373682171, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012794231281546069), np.float64(0.012275167025343151), np.float64(0.02664292802561935), np.float64(0.018809251726157532), np.float64(0.018774349504673837)]",0.017859185512667988
53,"{'lookback': 28, 'filters': 48, 'kernel_size': 2, 'lstm_units': 136, 'dense_units': 16, 'dropout_rate': 0.22914799773761463, 'learning_rate': 0.007656527549908056, 'l2_reg': 0.00021028002817620735, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0128207303696915), np.float64(0.012258502345255206), np.float64(0.026625849040772455), np.float64(0.018796460044826064), np.float64(0.0187076788359589)]",0.017841844127300825
55,"{'lookback': 27, 'filters': 41, 'kernel_size': 2, 'lstm_units': 130, 'dense_units': 18, 'dropout_rate': 0.2573613943316862, 'learning_rate': 0.005123386076726828, 'l2_reg': 0.00039065574050784326, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012832462619734855), np.float64(0.01225710367339722), np.float64(0.0266230677603346), np.float64(0.01874751029866915), np.float64(0.01875879170483882)]",0.01784378721139493
56,"{'lookback': 28, 'filters': 39, 'kernel_size': 2, 'lstm_units': 118, 'dense_units': 22, 'dropout_rate': 0.2390849570536372, 'learning_rate': 0.006075550654881166, 'l2_reg': 0.0002901898603578866, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012810467459282038), np.float64(0.012262440663003846), np.float64(0.02663090480848743), np.float64(0.018784428992446336), np.float64(0.01880469327301648)]",0.017858587039247226
57,"{'lookback': 19, 'filters': 44, 'kernel_size': 2, 'lstm_units': 110, 'dense_units': 23, 'dropout_rate': 0.19139796307955317, 'learning_rate': 0.00787982976100298, 'l2_reg': 0.00010282578099216247, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012879630969518557), np.float64(0.012281362891133588), np.float64(0.0265925899121916), np.float64(0.01877218317862171), np.float64(0.018784541956800974)]",0.017862061781653286
58,"{'lookback': 26, 'filters': 51, 'kernel_size': 2, 'lstm_units': 116, 'dense_units': 19, 'dropout_rate': 0.24478539816681197, 'learning_rate': 0.005556639588728906, 'l2_reg': 0.00014939377812514846, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012920692810607447), np.float64(0.012286517725622888), np.float64(0.026628954373637544), np.float64(0.01872832242865578), np.float64(0.01870607884363744)]",0.01785411323643222
61,"{'lookback': 26, 'filters': 54, 'kernel_size': 3, 'lstm_units': 94, 'dense_units': 34, 'dropout_rate': 0.41551061399662054, 'learning_rate': 0.0025728015112072055, 'l2_reg': 0.0005385516416619609, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012806608324021808), np.float64(0.012258939737734072), np.float64(0.026725545958063666), np.float64(0.018802074071705994), np.float64(0.01882360231950425)]",0.017883354082205958
62,"{'lookback': 28, 'filters': 54, 'kernel_size': 2, 'lstm_units': 125, 'dense_units': 30, 'dropout_rate': 0.3163125542036982, 'learning_rate': 0.006976701526167053, 'l2_reg': 0.0007860862479963139, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.01284960562317367), np.float64(0.012279477394190786), np.float64(0.026639671145983652), np.float64(0.018788373394640463), np.float64(0.018716865480946025)]",0.01785479860778692
63,"{'lookback': 18, 'filters': 55, 'kernel_size': 3, 'lstm_units': 82, 'dense_units': 17, 'dropout_rate': 0.37055485072023064, 'learning_rate': 0.002235141718174156, 'l2_reg': 0.0006814207953913409, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.01284349221422179), np.float64(0.012276613278192162), np.float64(0.026700091831783266), np.float64(0.019037967528428804), np.float64(0.01878887859454354)]",0.017929408689433914
65,"{'lookback': 25, 'filters': 48, 'kernel_size': 3, 'lstm_units': 101, 'dense_units': 38, 'dropout_rate': 0.28328038984931647, 'learning_rate': 0.003992938599398523, 'l2_reg': 0.0005942174205341034, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012822256456843276), np.float64(0.01225677076681031), np.float64(0.026641054175028368), np.float64(0.018787963972479824), np.float64(0.018738963457315422)]",0.01784940176569544
66,"{'lookback': 28, 'filters': 57, 'kernel_size': 2, 'lstm_units': 90, 'dense_units': 44, 'dropout_rate': 0.3434102498166581, 'learning_rate': 0.004608039984149066, 'l2_reg': 0.0004081056409444313, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012812310596405781), np.float64(0.01226166660285598), np.float64(0.026640759938683655), np.float64(0.018815657547780636), np.float64(0.018791230431100463)]",0.017864325023365303
73,"{'lookback': 27, 'filters': 51, 'kernel_size': 3, 'lstm_units': 157, 'dense_units': 30, 'dropout_rate': 0.390330264552127, 'learning_rate': 0.0046772492785995745, 'l2_reg': 0.0004774712727037122, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.01281235957863096), np.float64(0.012245147977491891), np.float64(0.02664827215021414), np.float64(0.01873191436931103), np.float64(0.018681585822539523)]",0.017823855979637506
74,"{'lookback': 27, 'filters': 51, 'kernel_size': 4, 'lstm_units': 93, 'dense_units': 30, 'dropout_rate': 0.4350226359787904, 'learning_rate': 0.006232409490913605, 'l2_reg': 0.00022043017754305147, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012766488177494754), np.float64(0.012262348140053534), np.float64(0.02662806954275037), np.float64(0.018834720725201134), np.float64(0.018722543690763507)]",0.01784283405525266
79,"{'lookback': 25, 'filters': 47, 'kernel_size': 4, 'lstm_units': 86, 'dense_units': 27, 'dropout_rate': 0.20370019355971725, 'learning_rate': 0.005639960457734759, 'l2_reg': 0.00036963292733110215, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.012786170374748725), np.float64(0.012246137708276398), np.float64(0.026618334311974308), np.float64(0.018753980791508574), np.float64(0.018724716282803342)]",0.017825867893862268
80,"{'lookback': 14, 'filters': 44, 'kernel_size': 4, 'lstm_units': 81, 'dense_units': 25, 'dropout_rate': 0.20044278610962926, 'learning_rate': 0.005647417084820548, 'l2_reg': 0.0003473295419328676, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012809455500397427), np.float64(0.012268145251875487), np.float64(0.026637050715130773), np.float64(0.018842334336058957), np.float64(0.018675582791465046)]",0.01784651371898554
83,"{'lookback': 27, 'filters': 46, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 29, 'dropout_rate': 0.2637973063698951, 'learning_rate': 0.005331152415901397, 'l2_reg': 0.0005701584716529013, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012768272075415312), np.float64(0.012269645790320284), np.float64(0.02666073561115456), np.float64(0.01874616113723684), np.float64(0.018696775856299055)]",0.01782831809408521
84,"{'lookback': 27, 'filters': 48, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 27, 'dropout_rate': 0.26287817739577335, 'learning_rate': 0.005254103612313742, 'l2_reg': 0.00038067007457224275, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.012792215951842021), np.float64(0.012272788031711505), np.float64(0.026685031357411404), np.float64(0.01875038861898221), np.float64(0.018721552867705847)]",0.017844395365530598
89,"{'lookback': 27, 'filters': 49, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 20, 'dropout_rate': 0.2524311116193369, 'learning_rate': 0.007192445317988667, 'l2_reg': 0.0002679857472411862, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012788638157803246), np.float64(0.0122628865680448), np.float64(0.026630055467558963), np.float64(0.0187890548183002), np.float64(0.018676483338388773)]",0.017829423670019197
90,"{'lookback': 23, 'filters': 50, 'kernel_size': 3, 'lstm_units': 96, 'dense_units': 16, 'dropout_rate': 0.27156696686224885, 'learning_rate': 0.0072893428868453305, 'l2_reg': 0.00021932493829813647, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.012793055633870929), np.float64(0.012257895390400777), np.float64(0.026645689378925117), np.float64(0.018737882097819986), np.float64(0.018786769178364554)]",0.017844258335876273
92,"{'lookback': 26, 'filters': 48, 'kernel_size': 4, 'lstm_units': 89, 'dense_units': 31, 'dropout_rate': 0.25000072796010725, 'learning_rate': 0.0062353529484066314, 'l2_reg': 0.0003131928946955242, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012856015526302628), np.float64(0.012255583485600359), np.float64(0.026607307564135534), np.float64(0.01876998427940739), np.float64(0.018711112962858368)]",0.017840000763660855
93,"{'lookback': 10, 'filters': 43, 'kernel_size': 2, 'lstm_units': 102, 'dense_units': 18, 'dropout_rate': 0.24238544210532603, 'learning_rate': 0.006851282755519293, 'l2_reg': 0.00039141206746693454, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.012800687310417135), np.float64(0.012257336003951038), np.float64(0.026649345358094052), np.float64(0.018808157788172634), np.float64(0.018680472234894434)]",0.01783919973910586
