trial_number,params,fold_rmses,mean_rmse
35,"{'lookback': 29, 'filters': 59, 'kernel_size': 4, 'lstm_units': 77, 'dense_units': 35, 'dropout_rate': 0.4126764994971234, 'learning_rate': 0.003683423138849438, 'l2_reg': 7.794001662123866e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006298481570371503), np.float64(0.006251774919982916), np.float64(0.012117409188710897), np.float64(0.008822555436339218), np.float64(0.007645187136638836)]",0.008227081650408674
38,"{'lookback': 31, 'filters': 59, 'kernel_size': 3, 'lstm_units': 61, 'dense_units': 24, 'dropout_rate': 0.2569674620504008, 'learning_rate': 0.005321126571712731, 'l2_reg': 0.00018013673138408265, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006302568164624877), np.float64(0.0062448931738940255), np.float64(0.01212044077292433), np.float64(0.00884991266308883), np.float64(0.0075872835486110865)]",0.00822101966462863
39,"{'lookback': 24, 'filters': 47, 'kernel_size': 2, 'lstm_units': 68, 'dense_units': 35, 'dropout_rate': 0.43905115591082866, 'learning_rate': 0.000974432128362789, 'l2_reg': 7.593683585902688e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.006332549145421069), np.float64(0.006239289805255127), np.float64(0.012245343551136507), np.float64(0.008847755510177845), np.float64(0.007672095467264612)]",0.008267406695851031
41,"{'lookback': 28, 'filters': 43, 'kernel_size': 3, 'lstm_units': 42, 'dense_units': 42, 'dropout_rate': 0.3858522743991396, 'learning_rate': 0.007850254342910697, 'l2_reg': 0.00041659110804805234, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.00630663956263636), np.float64(0.006221532986934079), np.float64(0.012153641830226332), np.float64(0.00883492382795114), np.float64(0.007607536767891233)]",0.008224854995127828
42,"{'lookback': 26, 'filters': 35, 'kernel_size': 3, 'lstm_units': 36, 'dense_units': 46, 'dropout_rate': 0.3723322867729524, 'learning_rate': 0.0042064139026665665, 'l2_reg': 0.0010217772884219907, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006274678071313869), np.float64(0.006234304176392541), np.float64(0.012158861217844659), np.float64(0.008872009544024293), np.float64(0.007591481788900391)]",0.008226266959695151
43,"{'lookback': 33, 'filters': 52, 'kernel_size': 3, 'lstm_units': 55, 'dense_units': 46, 'dropout_rate': 0.40019762792937946, 'learning_rate': 0.005890297724663818, 'l2_reg': 0.0003082120486057284, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006253268910593725), np.float64(0.006237435923533165), np.float64(0.012144042580360193), np.float64(0.008851273794336841), np.float64(0.007554617075921694)]",0.008208127656949123
44,"{'lookback': 32, 'filters': 47, 'kernel_size': 3, 'lstm_units': 54, 'dense_units': 43, 'dropout_rate': 0.4020547858741514, 'learning_rate': 0.005750526795595189, 'l2_reg': 0.00028405330578265136, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006277551091109662), np.float64(0.0062462180257097846), np.float64(0.01216481499122672), np.float64(0.008844839030336803), np.float64(0.00759206168590132)]",0.008225096964856859
49,"{'lookback': 20, 'filters': 54, 'kernel_size': 3, 'lstm_units': 53, 'dense_units': 32, 'dropout_rate': 0.47392774836082396, 'learning_rate': 0.008496457671306601, 'l2_reg': 0.00035050027174359855, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006250326662412928), np.float64(0.006231211136526293), np.float64(0.01215559317083028), np.float64(0.008845814675586348), np.float64(0.007614405436028855)]",0.008219470216276942
52,"{'lookback': 40, 'filters': 39, 'kernel_size': 3, 'lstm_units': 42, 'dense_units': 47, 'dropout_rate': 0.4048276265076009, 'learning_rate': 0.009425974175714362, 'l2_reg': 0.0006757948070943993, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006269931688825454), np.float64(0.006224689788204961), np.float64(0.012152966710717661), np.float64(0.008832181932620585), np.float64(0.007589167161678297)]",0.008213787456409393
54,"{'lookback': 37, 'filters': 37, 'kernel_size': 4, 'lstm_units': 111, 'dense_units': 44, 'dropout_rate': 0.3518002041633073, 'learning_rate': 0.004845361454362022, 'l2_reg': 0.0008355843201076639, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006285696565224739), np.float64(0.006234293327624402), np.float64(0.012162938257081205), np.float64(0.008826865756942767), np.float64(0.007556208234375303)]",0.008213200428249684
55,"{'lookback': 33, 'filters': 33, 'kernel_size': 4, 'lstm_units': 100, 'dense_units': 43, 'dropout_rate': 0.33154844190627125, 'learning_rate': 0.0048210344259949, 'l2_reg': 0.0008201335326026517, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006288295364437241), np.float64(0.0062467428892271975), np.float64(0.0121765605506819), np.float64(0.008827798632199483), np.float64(0.0075693039702391975)]",0.008221740281357004
56,"{'lookback': 36, 'filters': 37, 'kernel_size': 4, 'lstm_units': 100, 'dense_units': 40, 'dropout_rate': 0.35025907561975445, 'learning_rate': 0.004367472209521086, 'l2_reg': 0.0015521427616793809, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0062755644874793745), np.float64(0.006245904974466519), np.float64(0.012151487940167856), np.float64(0.008812477348712832), np.float64(0.0075821265088019075)]",0.008213512251925697
